OBJECTID,huc_dir,has_strm,has_dem,has_land,has_flow,has_arc,has_analysis,q_ep_50,rp100,qmin_env,qmax_env,dam_height_m,solver_bracket_source,terminal_stage,terminal_reason,raw_reason,Dam_Name,State Abbreviation,Reach_ID,OSM_Name,HUC8
5550,huc6_010100,True,True,False,False,False,False,,,,,,,stage_no_land,missing constant_land.tif + Manning_n.txt under LAND/<id>/,,Placemark,ME,805083.0,,1010004.0
5552,huc6_010100,True,True,False,False,False,False,,,,,,,stage_no_land,missing constant_land.tif + Manning_n.txt under LAND/<id>/,,Placemark,ME,817481.0,,1010005.0
6278,huc6_010100,True,True,False,False,False,False,,,,,,,stage_no_land,missing constant_land.tif + Manning_n.txt under LAND/<id>/,,192,ME,717370.0,,1010002.0
2345,huc6_010200,True,True,False,False,False,False,,,,,,,stage_no_land,missing constant_land.tif + Manning_n.txt under LAND/<id>/,,,ME,1743026.0,,1020005.0
2346,huc6_010200,True,True,False,False,False,False,,,,,,,stage_no_land,missing constant_land.tif + Manning_n.txt under LAND/<id>/,,,ME,1743026.0,,1020005.0
3535,huc6_010200,True,True,False,False,False,False,,,,,,,stage_no_land,missing constant_land.tif + Manning_n.txt under LAND/<id>/,,Garland Pond Dike,ME,1734694.0,,1020005.0
5549,huc6_010200,True,True,False,False,False,False,,,,,,,stage_no_land,missing constant_land.tif + Manning_n.txt under LAND/<id>/,,Placemark,ME,1700800.0,,1020001.0
6280,huc6_010200,True,True,False,False,False,False,,,,,,,stage_no_land,missing constant_land.tif + Manning_n.txt under LAND/<id>/,,467,ME,1700800.0,,1020001.0
6282,huc6_010200,True,True,False,False,False,False,,,,,,,stage_no_land,missing constant_land.tif + Manning_n.txt under LAND/<id>/,,469,ME,1700580.0,,1020001.0
6290,huc6_010200,True,True,False,False,False,False,,,,,,,stage_no_land,missing constant_land.tif + Manning_n.txt under LAND/<id>/,,Placemark,ME,1700626.0,,1020001.0
6291,huc6_010200,True,True,False,False,False,False,,,,,,,stage_no_land,missing constant_land.tif + Manning_n.txt under LAND/<id>/,,Placemark,ME,1701756.0,,1020001.0
3534,huc6_010300,True,True,False,False,False,False,,,,,,,stage_no_land,missing constant_land.tif + Manning_n.txt under LAND/<id>/,,Crocker Pond,ME,1023318.0,,1030001.0
5553,huc6_010300,True,True,False,False,False,False,,,,,,,stage_no_land,missing constant_land.tif + Manning_n.txt under LAND/<id>/,,Placemark,ME,1031927.0,,1030002.0
6277,huc6_010300,True,True,False,False,False,False,,,,,,,stage_no_land,missing constant_land.tif + Manning_n.txt under LAND/<id>/,,106,ME,1031927.0,,1030002.0
6283,huc6_010300,True,True,False,False,False,False,,,,,,,stage_no_land,missing constant_land.tif + Manning_n.txt under LAND/<id>/,,536,ME,1022576.0,,1030001.0
6285,huc6_010300,True,True,False,False,False,False,,,,,,,stage_no_land,missing constant_land.tif + Manning_n.txt under LAND/<id>/,,700,ME,1032055.0,,1030002.0
7413,huc6_010300,True,True,False,False,False,False,,,,,,,stage_no_land,missing constant_land.tif + Manning_n.txt under LAND/<id>/,,Shawmut Dam,ME,3322260.0,,1030003.0
3537,huc6_010400,True,True,False,False,False,False,,,,,,,stage_no_land,missing constant_land.tif + Manning_n.txt under LAND/<id>/,,Raynes Farm,ME,6710909.0,,1040002.0
6284,huc6_010400,True,True,False,False,False,False,,,,,,,stage_no_land,missing constant_land.tif + Manning_n.txt under LAND/<id>/,,624,ME,19334001.0,,1040001.0
6287,huc6_010400,True,True,False,False,False,False,,,,,,,stage_no_land,missing constant_land.tif + Manning_n.txt under LAND/<id>/,,796,ME,6711853.0,,1040002.0
18242,huc6_010400,True,True,False,False,False,False,,,,,,,stage_no_land,missing constant_land.tif + Manning_n.txt under LAND/<id>/,,Low-Head Dam (16134),NH,19335213.0,Sawmill Dam,1040001.0
18690,huc6_010400,True,True,False,False,False,False,,,,,,,stage_no_land,missing constant_land.tif + Manning_n.txt under LAND/<id>/,,Dead River,ME,6711867.0,,1040002.0
18803,huc6_010400,True,True,False,False,False,False,,,,,,,stage_no_land,missing constant_land.tif + Manning_n.txt under LAND/<id>/,,Flying Pond,ME,166195996.0,,1040002.0
18866,huc6_010400,True,True,False,False,False,False,,,,,,,stage_no_land,missing constant_land.tif + Manning_n.txt under LAND/<id>/,,Long Pond,ME,19333279.0,,1040001.0
18867,huc6_010400,True,True,False,False,False,False,,,,,,,stage_no_land,missing constant_land.tif + Manning_n.txt under LAND/<id>/,,Beaver Pond,ME,19333099.0,,1040001.0
18942,huc6_010400,True,True,False,False,False,False,,,,,,,stage_no_land,missing constant_land.tif + Manning_n.txt under LAND/<id>/,,Wayne Village,ME,6712465.0,,1040002.0
18995,huc6_010400,True,True,False,False,False,False,,,,,,,stage_no_land,missing constant_land.tif + Manning_n.txt under LAND/<id>/,,Biscoe Falls                                                     ,ME,6711893.0,,1040002.0
19071,huc6_010400,True,True,False,False,False,False,,,,,,,stage_no_land,missing constant_land.tif + Manning_n.txt under LAND/<id>/,,Gorham                                                           ,NH,19335283.0,,1040002.0
19875,huc6_010400,True,True,False,False,False,False,,,,,,,stage_no_land,missing constant_land.tif + Manning_n.txt under LAND/<id>/,,Jay Power Dam,ME,,,1040002.0
3536,huc6_010500,True,True,False,False,False,False,,,,,,,stage_no_land,missing constant_land.tif + Manning_n.txt under LAND/<id>/,,Rocky Lake,ME,2677976.0,,1050004.0
18745,huc6_010500,True,True,False,False,False,False,,,,,,,stage_no_land,missing constant_land.tif + Manning_n.txt under LAND/<id>/,,Lowell Lake,ME,5198048.0,,1050001.0
18771,huc6_010500,True,True,False,False,False,False,,,,,,,stage_no_land,missing constant_land.tif + Manning_n.txt under LAND/<id>/,,Ruffingham Wma,ME,166174120.0,,1050003.0
18774,huc6_010500,True,True,False,False,False,False,,,,,,,stage_no_land,missing constant_land.tif + Manning_n.txt under LAND/<id>/,,Low-Head Dam (19907),ME,5203914.0,Alford Lake Dam,1050003.0
18780,huc6_010500,True,True,False,False,False,False,,,,,,,stage_no_land,missing constant_land.tif + Manning_n.txt under LAND/<id>/,,Branch Lake,ME,2681498.0,,1050002.0
18787,huc6_010500,True,True,False,False,False,False,,,,,,,stage_no_land,missing constant_land.tif + Manning_n.txt under LAND/<id>/,,Seabright,ME,2685926.0,,1050002.0
18789,huc6_010500,True,True,False,False,False,False,,,,,,,stage_no_land,missing constant_land.tif + Manning_n.txt under LAND/<id>/,,Megunticook East,ME,2686030.0,,1050002.0
18790,huc6_010500,True,True,False,False,False,False,,,,,,,stage_no_land,missing constant_land.tif + Manning_n.txt under LAND/<id>/,,Megunticook West,ME,2686030.0,,1050002.0
18792,huc6_010500,True,True,False,False,False,False,,,,,,,stage_no_land,missing constant_land.tif + Manning_n.txt under LAND/<id>/,,Pitcher Pond,ME,2685874.0,,1050002.0
