OBJECTID,Join_Count,TARGET_FID,LHD_Determination,Latitude,Longitude,See In Google Earth,Fatality,NumberOfFatalities,Beta_Source_Layer,URL,River/Stream,SARPID,Original Source,SourceID,SourceFile,MERGE_SRC,Date Rechecked,Rechecked by,SiteId,SiteUuid,WaterSourceUuids,PODorPOUSite,SiteNativeId,ID,LHD_Color,Day of Evaluation,Evaluation Comments,Evaluator's Name,Dam_Name,State Name,State Abbreviation,State FIPS Code,County Name,County FIPS Code,FIPS Code,2023 Total County Population,City,Weir_Length,LHD_SiteID,LinkNo,Reach_ID,LHD_Match_Dist_Meters,LHD_ID,Federal_ID,Review_Status,LHD_Reviewer,Review_Notes,Review_Notes_Details,County,State,ZIP,River,Distance_To_City_Mi,Congressional_District,HUC2,HUC4,HUC6,HUC8,USACE_District,USACE_Division,FEMA_Region,FEMA_Community,Owner_Names,Owner_Type,Dam_Type,Primary_Purpose,Dam_Height_Ft,NID_Height_Ft,Hydraulic_Height_Ft,Structural_Height_Ft,Dam_Length_Ft,Year_Completed,Condition_Assessment,Operational_Status,Inspection_Frequency_Yr,Last_Inspected,Source_Agency,Last_Updated,NID_Hazard_Class,NID_EAP_Prepared,NID_Last_Inspection,NID_Website,GNIS_Name,NID_Match_Method,NID_Match_Federal_ID,NID_Match_Dist_M,NID_Match_Dam_Height_Ft,NID_Match_Hydraulic_Height_Ft,NID_Match_Structural_Height_Ft,NID_Match_NID_Height_Ft,OSM_Name,Qmin_env,Qmax_env,Qmin_stable,Qmax_stable
1,1.0,1.0,1.0,29.42505858,-101.0414966,"https://earth.google.com/web/@29.42505858,-101.04149663,1100a,0d,35d",Yes,1.0,Hydrometricsaddedsites_EF,,Rio Grande,,,,,,,,,,,,,,Green,6/6/25 15:00,Fatality and LHD,Rollin Hotchkiss,Low head dam two miles downstream of Lake Amistad Dam,Texas,TX,48.0,Val Verde County,465.0,48465.0,47067.0,,77.84,563.0,770519273.0,317255.0,8.731630729,25775.0,,Appears to be LHD,USACE,Initial LHDI Review Completed,,Val Verde County,Texas,78840.0,Rio Grande,,"Congressional District 23, Texas",13.0,1308.0,130800.0,13080001.0,Fort Worth District,Southwestern Division,6.0,Val Verde County,,,,,,,,,,,,,,,LHD Task Force,2025-09-09T12:00:00.000Z,,,,,Rio Grande,,,,,,,,,,,,
2,1.0,2.0,1.0,34.15446696,-117.9214548,"https://earth.google.com/web/@34.15446696,-117.92145475,1100a,0d,35d",,,Hydrometricsaddedsites_EF,,San Gabriel River,,,,,,,,,,,,,,Green,6/6/25 23:00,,Karl Kingery,Low-Head Dam (15914),California,CA,6.0,Los Angeles County,37.0,6037.0,9965925.0,Azusa,,,,948070466.0,,15914.0,,Appears to be LHD,USACE,Initial LHDI Review Completed,,Los Angeles County,California,91702.0,San Gabriel River,0.0,"Congressional District 31, California",18.0,1807.0,180701.0,18070106.0,Los Angeles District,South Pacific Division,9.0,Azusa city,,,,,,,,,,,,,,,LHD Task Force,2025-04-07T12:00:00.000Z,,,,,San Gabriel River,,,,,,,,,,,,
3,1.0,3.0,1.0,34.15651371,-117.9189814,"https://earth.google.com/web/@34.15651371,-117.91898138,1100a,0d,35d",,,Hydrometricsaddedsites_EF,,San Gabriel River,,,,,,,,,,,,,,Green,6/6/25 23:01,,Karl Kingery,Low-Head Dam (15916),California,CA,6.0,Los Angeles County,37.0,6037.0,9965925.0,Azusa,,,,948070466.0,,15916.0,,Appears to be LHD,USACE,Initial LHDI Review Completed,,Los Angeles County,California,91702.0,San Gabriel River,0.0,"Congressional District 31, California",18.0,1807.0,180701.0,18070106.0,Los Angeles District,South Pacific Division,9.0,Azusa city,,,,,,,,,,,,,,,LHD Task Force,2025-04-07T12:00:00.000Z,,,,,San Gabriel River,,,,,,,,,,,,
4,1.0,4.0,1.0,34.15842425,-117.9166183,"https://earth.google.com/web/@34.15842425,-117.91661827,1100a,0d,35d",,,Hydrometricsaddedsites_EF,,San Gabriel River,,,,,,,,,,,,,,Green,6/6/25 23:01,,Karl Kingery,Low-Head Dam (15918),California,CA,6.0,Los Angeles County,37.0,6037.0,9965925.0,Azusa,,,,948070466.0,,15918.0,,Appears to be LHD,USACE,Initial LHDI Review Completed,,Los Angeles County,California,91702.0,San Gabriel River,0.0,"Congressional District 31, California",18.0,1807.0,180701.0,18070106.0,Los Angeles District,South Pacific Division,9.0,Azusa city,,,,,,,,,,,,,,,LHD Task Force,2025-04-07T12:00:00.000Z,,,,,San Gabriel River,,,,,,,,,,,,
5,1.0,5.0,1.0,34.15989491,-117.9145448,"https://earth.google.com/web/@34.15989491,-117.91454478,1100a,0d,35d",,1.0,Hydrometricsaddedsites_EF,,San Gabriel River,,,,,,,,,,,,,,Green,6/6/25 23:01,,Karl Kingery,Dam along San Gabriel River,California,CA,6.0,Los Angeles County,37.0,6037.0,9965925.0,Azusa,150.62,149.0,710595717.0,948070466.0,15.38444408,15927.0,,Appears to be LHD,USACE,Initial LHDI Review Completed,,Los Angeles County,California,91702.0,San Gabriel River,0.0,"Congressional District 31, California",18.0,1807.0,180701.0,18070106.0,Los Angeles District,South Pacific Division,9.0,Azusa city,,,,,,,,,,,,,,,LHD Task Force,2025-10-16T12:00:00.000Z,,,,,San Gabriel River,,,,,,,,,,,,
6,1.0,6.0,1.0,34.16094886,-117.9120418,"https://earth.google.com/web/@34.16094886,-117.91204179,1100a,0d,35d",,,Hydrometricsaddedsites_EF,,San Gabriel River,,,,,,,,,,,,,,Green,6/6/25 23:01,,Karl Kingery,Low-Head Dam (15929),California,CA,6.0,Los Angeles County,37.0,6037.0,9965925.0,Azusa,,,,22523031.0,,15929.0,,Appears to be LHD,USACE,Initial LHDI Review Completed,,Los Angeles County,California,91702.0,San Gabriel River,0.0,"Congressional District 31, California",18.0,1807.0,180701.0,18070106.0,Los Angeles District,South Pacific Division,9.0,Azusa city,,,,,,,,,,,,,,,LHD Task Force,2025-04-07T12:00:00.000Z,,,,,San Gabriel River,,,,,,,,,,,,
7,1.0,7.0,1.0,34.14991088,-117.9269559,"https://earth.google.com/web/@34.14991088,-117.92695592,1100a,0d,35d",,,Hydrometricsaddedsites_EF,,San Gabriel River,,,,,,,,,,,,,,Green,6/6/25 23:01,,Karl Kingery,Low-Head Dam (15912),California,CA,6.0,Los Angeles County,37.0,6037.0,9965925.0,Azusa,,,,948070468.0,,15912.0,,Appears to be LHD,USACE,Initial LHDI Review Completed,,Los Angeles County,California,91010.0,San Gabriel River,0.0,"Congressional District 31, California",18.0,1807.0,180701.0,18070106.0,Los Angeles District,South Pacific Division,9.0,Azusa city,,,,,,,,,,,,,,,LHD Task Force,2025-04-07T12:00:00.000Z,,,,,San Gabriel River,,,,,,,,,,,,
8,1.0,8.0,1.0,34.14590035,-117.9319116,"https://earth.google.com/web/@34.14590035,-117.93191155,1100a,0d,35d",,,Hydrometricsaddedsites_EF,,San Gabriel River,,,,,,,,,,,,,,Green,6/6/25 23:01,,Karl Kingery,Low-Head Dam (15908),California,CA,6.0,Los Angeles County,37.0,6037.0,9965925.0,Azusa,,,,948070467.0,,15908.0,,Appears to be LHD,USACE,Initial LHDI Review Completed,,Los Angeles County,California,91010.0,San Gabriel River,0.0,"Congressional District 31, California",18.0,1807.0,180701.0,18070106.0,Los Angeles District,South Pacific Division,9.0,Azusa city,,,,,,,,,,,,,,,LHD Task Force,2025-04-07T12:00:00.000Z,,,,,San Gabriel River,,,,,,,,,,,,
9,1.0,9.0,1.0,34.14387785,-117.9342319,"https://earth.google.com/web/@34.14387785,-117.93423187,1100a,0d,35d",,,Hydrometricsaddedsites_EF,,San Gabriel River,,,,,,,,,,,,,,Green,6/6/25 23:01,,Karl Kingery,Low-Head Dam (15906),California,CA,6.0,Los Angeles County,37.0,6037.0,9965925.0,Azusa,,,,948070467.0,,15906.0,,Appears to be LHD,USACE,Initial LHDI Review Completed,,Los Angeles County,California,91010.0,San Gabriel River,0.0,"Congressional District 31, California",18.0,1807.0,180701.0,18070106.0,Los Angeles District,South Pacific Division,9.0,Azusa city,,,,,,,,,,,,,,,LHD Task Force,2025-04-07T12:00:00.000Z,,,,,San Gabriel River,,,,,,,,,,,,
10,1.0,10.0,1.0,34.14124571,-117.9369526,"https://earth.google.com/web/@34.14124571,-117.93695264,1100a,0d,35d",,,Hydrometricsaddedsites_EF,,San Gabriel River,,,,,,,,,,,,,,Green,6/6/25 23:02,,Karl Kingery,Low-Head Dam (15883),California,CA,6.0,Los Angeles County,37.0,6037.0,9965925.0,Azusa,,,,22523131.0,,15883.0,,Appears to be LHD,USACE,Initial LHDI Review Completed,,Los Angeles County,California,91010.0,San Gabriel River,0.0,"Congressional District 31, California",18.0,1807.0,180701.0,18070106.0,Los Angeles District,South Pacific Division,9.0,Azusa city,,,,,,,,,,,,,,,LHD Task Force,2025-04-07T12:00:00.000Z,,,,,San Gabriel River,,,,,,,,,,,,
