LHD_ID,Federal_ID,Name,Latitude,Longitude,Review_Status,City,County,State,ZIP,River,Distance_To_City_Mi,Congressional_District,HUC2,HUC4,HUC6,HUC8,USACE_District,USACE_Division,FEMA_Region,FEMA_Community,Owner_Names,Owner_Type,Dam_Type,Primary_Purpose,Dam_Height_Ft,NID_Height_Ft,Hydraulic_Height_Ft,Structural_Height_Ft,Dam_Length_Ft,Year_Completed,Condition_Assessment,Operational_Status,Inspection_Frequency_Yr,Last_Inspected,Source_Agency,Last_Updated,NID_Hazard_Class,NID_EAP_Prepared,NID_Last_Inspection,NID_Website
22415,,Low-Head Dam (22415),37.5463722,-96.99647693,Appears to be LHD,Douglass,Butler,Kansas,67039,,2,"Congressional District 04, Kansas",11,1103,110300,11030018,Tulsa District,Southwestern Division,7,Butler County,,,,,,,,,,,,,,,LHD Task Force,2025-07-10T12:00:00.000Z,,,,
22388,,Low-Head Dam (22388),37.12779578,-98.15343819,Appears to be LHD,Anthony,Harper,Kansas,67003,,6,"Congressional District 04, Kansas",11,1106,110600,11060005,Tulsa District,Southwestern Division,7,Harper County,,,,,,,,,,,,,,,LHD Task Force,2025-07-10T12:00:00.000Z,,,,
21391,,Low-Head Dam (21391),44.02572759,-73.17774349,Appears to be LHD,Middlebury,Addison,Vermont,05753,Otter Creek,0,"Congressional District 00, Vermont",04,0415,041504,04150402,New York District,North Atlantic Division,1,Middlebury town,,,,,,,,,,,,,,,LHD Task Force,2025-07-10T12:00:00.000Z,,,,
22353,,Low-Head Dam (22353),41.27033726,-110.9568529,Appears to be LHD,Evanston,Uinta,Wyoming,82930,Bear River,0,"Congressional District 00, Wyoming",16,1601,160101,16010101,Sacramento District,South Pacific Division,8,Evanston city,,,,,,,,,,,,,,,LHD Task Force,2025-07-10T12:00:00.000Z,,,,
21417,VT00202,Patch Pond,43.62949225,-72.98558581,Confirmed not a LHD,Rutland,Rutland,Vermont,05701,East Creek,0,"Congressional District 00, Vermont",04,0415,041504,04150402,New York District,North Atlantic Division,1,Rutland city,GREEN MOUNTAIN POWER CORP,Public Utility,Concrete,Hydroelectric,30,35,30,35,390,1921,Not Rated,,10,,LHD Task Force,2025-12-16T12:00:00.000Z,Significant,Not Required,,https://damsafety.org/vermont
21327,,Low-Head Dam (21327),42.81782062,-73.18081812,Appears to be LHD,Pownal Center,Bennington,Vermont,05201,South Stream,3,"Congressional District 00, Vermont",02,0202,020200,02020003,New York District,North Atlantic Division,1,Pownal town,,,,,,,,,,,,,,,LHD Task Force,2025-07-10T12:00:00.000Z,,,,
22339,,Low-Head Dam (22339),41.22869578,-110.6102252,Appears to not be LHD,Robertson,Uinta,Wyoming,,Big Muddy Creek,12,"Congressional District 00, Wyoming",14,1404,140401,14040108,Sacramento District,South Pacific Division,8,Uinta County,,,,,,,,,,,,,,,LHD Task Force,2025-07-10T12:00:00.000Z,,,,
22398,,Low-Head Dam (22398),38.55427609,-100.2076286,Appears to be LHD,Utica,Ness,Kansas,67584,,7,"Congressional District 01, Kansas",11,1103,110300,11030007,Tulsa District,Southwestern Division,7,Ness County,,,,,,,,,,,,,,,LHD Task Force,2025-07-10T12:00:00.000Z,,,,
22335,,Low-Head Dam (22335),41.13591135,-110.6837576,Appears to be LHD,Robertson,Uinta,Wyoming,82930,West Muddy Creek,17,"Congressional District 00, Wyoming",14,1404,140401,14040108,Sacramento District,South Pacific Division,8,Uinta County,,,,,,,,,,,,,,,LHD Task Force,2025-07-10T12:00:00.000Z,,,,
22408,,Low-Head Dam (22408),37.92180473,-95.42685076,Appears to be LHD,Iola,Allen,Kansas,66749,,1,"Congressional District 02, Kansas",11,1107,110702,11070204,Tulsa District,Southwestern Division,7,Allen County,,,,,,,,,,,,,,,LHD Task Force,2025-07-10T12:00:00.000Z,,,,
22338,,Low-Head Dam (22338),41.12191982,-110.6940398,Undetermined,Robertson,Uinta,Wyoming,82930,West Muddy Creek,18,"Congressional District 00, Wyoming",14,1404,140401,14040108,Sacramento District,South Pacific Division,8,Uinta County,,,,,,,,,,,,,,,LHD Task Force,2025-07-10T12:00:00.000Z,,,,
22341,,Low-Head Dam (22341),41.56366522,-110.6522972,Appears to be LHD,Kemmerer,Uinta,Wyoming,,Little Muddy Creek,14,"Congressional District 00, Wyoming",14,1404,140401,14040108,Sacramento District,South Pacific Division,8,Uinta County,,,,,,,,,,,,,,,LHD Task Force,2025-07-10T12:00:00.000Z,,,,
22377,,Low-Head Dam (22377),42.0331629,-103.8924716,Undetermined,Morrill,Sioux,Nebraska,69358,,5,"Congressional District 03, Nebraska",10,1018,101800,10180009,Omaha District,Northwestern Division,7,Sioux County,,,,,,,,,,,,,,,LHD Task Force,2025-07-10T12:00:00.000Z,,,,
22382,,Low-Head Dam (22382),42.03026648,-103.8931071,Undetermined,Morrill,Sioux,Nebraska,69358,,5,"Congressional District 03, Nebraska",10,1018,101800,10180009,Omaha District,Northwestern Division,7,Sioux County,,,,,,,,,,,,,,,LHD Task Force,2025-07-10T12:00:00.000Z,,,,
21294,VT00161,Browns Pond,44.81212921,-72.79049909,Appears to be LHD,Bakersfield,Franklin,Vermont,05441,Browns Pond,2,"Congressional District 00, Vermont",04,0415,041504,04150407,New York District,North Atlantic Division,1,Bakersfield town,ROZZI REAL ESTATE,Private,Concrete,Hydroelectric,22,22,22,22,82,1920,Not Rated,,10,1998-09-15T00:00:00.000Z,LHD Task Force,2025-10-22T12:00:00.000Z,Low,Not Required,09/14/1998,https://damsafety.org/vermont
22421,,Low-Head Dam (22421),37.22824684,-97.00757543,Appears to be LHD,Winfield,Cowley,Kansas,67156,,1,"Congressional District 04, Kansas",11,1103,110300,11030018,Tulsa District,Southwestern Division,7,Cowley County,,,,,,,,,,,,,,,LHD Task Force,2025-07-10T12:00:00.000Z,,,,
22434,,Low-Head Dam (22434),40.12279298,-76.40496371,Appears to be LHD,Landisville,Lancaster,Pennsylvania,17545,Chickies Creek,2,"Congressional District 11, Pennsylvania",02,0205,020503,02050306,Baltimore District,North Atlantic Division,3,Rapho township,,,,,,,,,,,,,,,LHD Task Force,2025-07-10T12:00:00.000Z,,,,
22372,,Low-Head Dam (22372),38.76601665,-100.2738715,Appears to be LHD,Utica,Gove,Kansas,67584,,11,"Congressional District 01, Kansas",10,1026,102600,10260003,Kansas City District,Northwestern Division,7,Gove County,,,,,,,,,,,,,,,LHD Task Force,2025-07-10T12:00:00.000Z,,,,
22443,,Low-Head Dam (22443),39.81725373,-76.24179582,Appears to be LHD,Wakefield,Lancaster,Pennsylvania,17518,Fishing Creek,5,"Congressional District 11, Pennsylvania",02,0205,020503,02050306,Baltimore District,North Atlantic Division,3,Drumore township,,,,,,,,,,,,,,,LHD Task Force,2025-07-10T12:00:00.000Z,,,,
22479,,Low-Head Dam (22479),40.02561931,-75.99701857,Appears to be LHD,Gap,Lancaster,Pennsylvania,17527,White Horse Run,2,"Congressional District 11, Pennsylvania",02,0205,020503,02050306,Baltimore District,North Atlantic Division,3,Salisbury township,,,,,,,,,,,,,,,LHD Task Force,2025-07-10T12:00:00.000Z,,,,
