action,site_id,site_name,distance_m,OBJECTID,old_fatality,old_num,new_fatality,new_num
fatality_update,226,Low Head Dam on Indian Creek,5.1,5641,,,Yes,1
fatality_update,123,Great Crossings Dam near Great Crossing Park,0.0,7253,,2.0,Yes,3
fatality_update,128,Bloede's Dam in Patapsco Valley State Park,0.0,15972,,,Yes,6
fatality_update,83,Welch Dam,0.0,15964,,,Yes,4
fatality_update,79,Red Lake River Dam just east of River View Health,30.4,8031,,,Yes,2
fatality_update,243,Low Head Dam on Big Wills Creek,0.8,11656,,,Yes,4
fatality_update,220,Dennett Dam,0.0,16025,,,Yes,3
fatality_update,241,Low Head Divers Dam Near Mt. Shivano Fish Hatchery,13.6,8541,,,Yes,4
fatality_update,28,Boone Water Works Low-head Dam,0.0,7197,,4.0,Yes,5
fatality_update,30,Fort Dodge Little Dam,31.8,7198,,2.0,Yes,2
fatality_update,215,Corn Belt Power Dam,0.0,15978,,,Yes,3
fatality_update,137,Des Plaines River south of W 9th Street,0.0,16032,,,Yes,1
fatality_update,47,Danville Dam east of S Gilbert St,3.4,5722,,,Yes,2
fatality_update,113,Dam near Hammel Woods Kayak Launch,4.1,15298,,,Yes,3
fatality_update,216,Markle Mill Dam on Otter Creek,0.0,7308,,1.0,Yes,1
fatality_update,238,John Thompson Dam,0.0,7321,,1.0,Yes,2
fatality_update,587,Rockford Dam,0.0,7427,,1.0,Yes,1
fatality_update,119,Jim Beam Old Granddad Distillery Dam,0.0,15970,,,Yes,2
fatality_update,240,"Greencastle Dam, Bowling Green",7.9,12733,,,Yes,3
fatality_update,227,Kentucky Utility Low Head Dam,0.0,7315,,1.0,Yes,1
fatality_update,151,Mill Street Dam next to railroad,3.0,14779,,,Yes,1
fatality_update,153,Union Dam by Baltimore National Pike,0.0,15974,,,Yes,3
fatality_update,134,Corunna Dam east of Mitchell Park,6.8,9502,,,Yes,1
fatality_update,193,Shiatown Dam,2.2,9604,,,Yes,1
fatality_update,75,Flandrau State Park dam,0.0,15963,,,Yes,2
fatality_update,70,Minnesota Falls Dam (before removal),0.0,16030,,,Yes,1
fatality_update,74,Dam in Buffalo River State Park,26.7,16028,,,Yes,2
fatality_update,89,Rock River Dam SE of Luverne City Park,16.8,12281,,,Yes,1
fatality_update,135,Dam SW of Lagoon Park,20.4,12068,,,Yes,3
fatality_update,69,Willow River Dam on Willow River Reservoir,6.1,16887,,,Yes,2
fatality_update,268,Dawt Mill Dam,5.6,3567,,,Yes,1
fatality_update,142,Milburnie Dam on Neuse River,0.0,15976,,,Yes,11
fatality_update,122,5th Avenue Dam near Ohio State University,0.0,15971,,,Yes,2
