OBJECTID,old_dam_name,osm_name,distance_m,Latitude,Longitude
51,,Stoneglen Dam Number 8,6.5,32.85844597,-97.30941877
597,,Check Dam,9.7,50.75249825,-112.418147
2317,,Upper Kezar Falls - Approach Channel Dam,9.1,43.80684236,-70.88847736
2372,,Parker Road Bog Dam,33.0,41.59318513,-70.57124162
2375,,Reed Number 1 Dam,8.4,42.05866472,-70.72796302
2475,,Granite Reef Dam,39.7,33.51587193,-111.6915525
2505,,Yellowstone Canal Diversion Dam,19.0,46.28129761,-107.3015338
2984,,Woodward Mill Dam,14.8,34.058502,-83.99356
4015,,Humble Dam,10.0,32.93228,-98.83209
4837,,Trio Pond Western Dam,24.8,44.70915524,-71.36993212
4882,,East Head Pond Dam,13.3,41.83888584,-70.68990851
4883,,Besse Bog Reservoir Dam,14.6,41.80837614,-70.64277162
4884,,Clifford Road Dam,3.1,41.9261041,-70.61353797
4889,,North Harwich Reservoir Dam,12.1,41.68197882,-70.12218357
4893,,Mill Pond Dam,11.5,41.76267599,-70.67614503
4951,Control Structure #2,Control Structure #2,1.6,27.402906,-80.39885
5195,LHD,Whiting Plover 2WP843 Dam,6.2,44.4805928,-89.57096406
5394,Added-13,Holidays Bridge Dam,30.9,34.52918546,-82.37750652
5396,Added-15,Piedmont Dam,2.1,34.70140277,-82.46268782
5406,Added-02,Manns Dam,3.0,46.86514662,-102.8225825
5417,Added-16,Silver Lake Dam,1.6,46.02683502,-97.57214521
5421,Added-21,Tolna Coulee Control Structure,5.1,47.88601646,-98.5059264
5759,LHD,Old Eileen Dam,15.0,48.7753256,-116.1553728
5760,LHD,Twin Lakes Dam,1.3,47.8570549,-116.8665628
6274,,Little Falls Dam,18.7,45.97536,-94.36835
6326,Low-Head Dam (23937),Sellers Manufacturing Company Dam,21.7,35.9477748,-79.32568453
6328,Low-Head Dam (23978),Hardins Dam,35.2,35.382,-81.185
6485,WaDE Unspecified,James Canyon Dam,22.2,32.69088972,-108.1096267
6498,WaDE Unspecified,San Bacino Dam,5.1,35.39678424,-105.4710629
6528,WaDE Unspecified,Ribera Dam,4.1,35.3782174,-105.4550172
